fairness,alpha,method,lambda,n,reg_norm_m,reg_norm_s,fair_m,fair_s,mse_m
wasserstein2_dp,2.0,cagrad,0.0,5,0.1283,0.0018,14.3426,3.8999,131.0581
wasserstein2_dp,2.0,dfl,0.0,5,0.129,0.0027,2.6589,1.1314,293.8929
wasserstein2_dp,2.0,fdfl,0.0,5,0.129,0.0027,2.6589,1.1314,293.8929
wasserstein2_dp,2.0,fdfl,0.5,5,0.1294,0.0026,2.0742,0.9539,303.5863
wasserstein2_dp,2.0,fdfl,1.0,5,0.1295,0.0026,1.935,0.7019,305.3994
wasserstein2_dp,2.0,fdfl,2.0,5,0.1299,0.0023,1.4754,0.7009,315.1703
wasserstein2_dp,2.0,fdfl-0.1,0.0,5,0.1282,0.0017,33.3168,4.041,129.691
wasserstein2_dp,2.0,fdfl-0.1,0.5,5,0.1299,0.0018,13.657,2.8442,132.1987
wasserstein2_dp,2.0,fdfl-0.1,1.0,5,0.1311,0.0019,9.3437,2.0582,135.0772
wasserstein2_dp,2.0,fdfl-0.1,2.0,5,0.133,0.0018,5.3114,1.634,139.3089
wasserstein2_dp,2.0,fdfl-0.5,0.0,5,0.1294,0.0019,24.6642,3.7818,121.3134
wasserstein2_dp,2.0,fdfl-0.5,0.5,5,0.1307,0.0019,14.7665,3.3302,121.5918
wasserstein2_dp,2.0,fdfl-0.5,1.0,5,0.1318,0.002,10.437,2.7254,122.8319
wasserstein2_dp,2.0,fdfl-0.5,2.0,5,0.1332,0.002,7.2897,2.5308,124.5607
wasserstein2_dp,2.0,fdfl-scal,0.0,5,0.1307,0.0019,22.6428,3.6653,120.2023
wasserstein2_dp,2.0,fdfl-scal,0.5,5,0.1317,0.0021,15.1032,3.8815,120.483
wasserstein2_dp,2.0,fdfl-scal,1.0,5,0.1326,0.0019,11.3809,3.0687,121.3588
wasserstein2_dp,2.0,fdfl-scal,2.0,5,0.1344,0.0019,7.6213,2.784,123.0483
wasserstein2_dp,2.0,fdfl-scal-mu2,0.0,5,0.1321,0.0019,21.4314,3.6817,119.5759
wasserstein2_dp,2.0,fdfl-scal-mu2,0.5,5,0.1332,0.0021,15.1288,4.1553,119.8746
wasserstein2_dp,2.0,fdfl-scal-mu2,1.0,5,0.1339,0.0021,11.6027,3.1439,120.5947
wasserstein2_dp,2.0,fdfl-scal-mu2,2.0,5,0.1356,0.0025,8.1946,3.3124,122.2139
wasserstein2_dp,2.0,fplg,0.0,5,0.1281,0.0018,31.0124,4.3717,125.4824
wasserstein2_dp,2.0,fplg,0.5,5,0.129,0.002,13.9784,2.9543,123.796
wasserstein2_dp,2.0,fplg,1.0,5,0.1303,0.002,9.2965,3.0872,125.4321
wasserstein2_dp,2.0,fplg,2.0,5,0.1317,0.0023,6.2894,2.6381,127.4533
wasserstein2_dp,2.0,fpto,0.0,5,0.1534,0.0033,27.8679,3.611,140.1245
wasserstein2_dp,2.0,fpto,0.5,5,0.1577,0.0036,11.5252,2.0799,142.0636
wasserstein2_dp,2.0,fpto,1.0,5,0.1605,0.0041,6.6705,1.3253,144.5033
wasserstein2_dp,2.0,fpto,2.0,5,0.1638,0.0042,3.7038,1.082,147.7193
wasserstein2_dp,2.0,mgda,0.0,5,0.151,0.0027,0.8154,0.212,349.8799
wasserstein2_dp,2.0,nashmtl,0.0,5,0.1279,0.0019,31.554,4.4938,125.8647
wasserstein2_dp,2.0,pcgrad,0.0,5,0.1401,0.0041,4.0972,1.8201,128.9422
wasserstein2_dp,2.0,pto,0.0,5,0.1534,0.0033,27.8679,3.611,140.1245
wasserstein2_dp,2.0,saa,0.0,5,0.2795,0.0024,0.0,0.0,249.1728
wasserstein2_dp,2.0,wdro,0.0,5,0.1542,0.0033,28.6594,3.6705,142.101
